condition_key,context_key,condition_label,notes
a2780_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,a2780_in_vitro,"BEZ235 50 nM, 24 h (Fig4C pS6 blot)",
a2780_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,a2780_in_vitro,"BEZ235 50 nM, 48 h (Fig6 PARP blot)",
a2780_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,a2780_in_vitro,"BEZ235 50 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
a2780_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,a2780_in_vitro,"BEZ235 600 nM, 48 h (Fig6 PARP blot)",
a2780_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,a2780_in_vitro,"BEZ235 600 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
a2780_in_vitro__bez_150nm_48_h_fig5c,a2780_in_vitro,"BEZ 150nM, 48 h (Fig5C)",
a2780_in_vitro__bez_300nm_48_h_fig5c,a2780_in_vitro,"BEZ 300nM, 48 h (Fig5C)",
a2780_in_vitro__bez_50nm_48_h_fig5c,a2780_in_vitro,"BEZ 50nM, 48 h (Fig5C)",
a2780_in_vitro__bez_600nm_48_h_fig5c,a2780_in_vitro,"BEZ 600nM, 48 h (Fig5C)",
a2780_in_vitro__control_48_h_fig5c,a2780_in_vitro,"control, 48 h (Fig5C)",
a2780_in_vitro__dox_0_5um_alone_48_h_fig5c,a2780_in_vitro,"DOX 0.5uM alone, 48 h (Fig5C)",
a2780_in_vitro__dox_bez_150nm_48_h_fig5c,a2780_in_vitro,"DOX+BEZ 150nM, 48 h (Fig5C)",
a2780_in_vitro__dox_bez_300nm_48_h_fig5c,a2780_in_vitro,"DOX+BEZ 300nM, 48 h (Fig5C)",
a2780_in_vitro__dox_bez_50nm_48_h_fig5c,a2780_in_vitro,"DOX+BEZ 50nM, 48 h (Fig5C)",
a2780_in_vitro__dox_bez_600nm_48_h_fig5c,a2780_in_vitro,"DOX+BEZ 600nM, 48 h (Fig5C)",
a2780_in_vitro__doxorubicin_0_05_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.05 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_0_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.1 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_0_2_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.2 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_0_4_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.4 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_0_6_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.6 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_0_8_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 0.8 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__doxorubicin_1_um_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Doxorubicin 1 uM, 48 h (Fig1C pair: A2780 vs A2780-dx)",
a2780_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,a2780_in_vitro,"Vehicle control, 24 h (Fig4C pS6 blot)",
a2780_in_vitro__vehicle_control_48_h_fig1c_pair_a2780_vs_a2780_dx,a2780_in_vitro,"Vehicle control, 48 h (Fig1C pair: A2780 vs A2780-dx)",
isolated_abcb1_membrane_preparation__fig4a_bez_150_nm,isolated_abcb1_membrane_preparation,Fig4A: BEZ 150 nM,
isolated_abcb1_membrane_preparation__fig4a_bez_50_nm,isolated_abcb1_membrane_preparation,Fig4A: BEZ 50 nM,
isolated_abcb1_membrane_preparation__fig4a_dox_0_2_um,isolated_abcb1_membrane_preparation,Fig4A: DOX 0.2 uM,
isolated_abcb1_membrane_preparation__fig4a_no_treatment,isolated_abcb1_membrane_preparation,Fig4A: No treatment,
isolated_abcb1_membrane_preparation__fig4a_sildenafil_10_um,isolated_abcb1_membrane_preparation,Fig4A: Sildenafil 10 uM,
isolated_abcb1_membrane_preparation__fig4a_vanadate,isolated_abcb1_membrane_preparation,Fig4A: Vanadate,
isolated_abcb1_membrane_preparation__fig4a_verapamil_positive_control_substrate,isolated_abcb1_membrane_preparation,Fig4A: Verapamil (positive control substrate),
isolated_abcb1_membrane_preparation__fig4b_bez_150_nm,isolated_abcb1_membrane_preparation,Fig4B: BEZ 150 nM,
isolated_abcb1_membrane_preparation__fig4b_bez_50_nm,isolated_abcb1_membrane_preparation,Fig4B: BEZ 50 nM,
isolated_abcb1_membrane_preparation__fig4b_no_treatment,isolated_abcb1_membrane_preparation,Fig4B: No Treatment,
isolated_abcb1_membrane_preparation__fig4b_vanadate,isolated_abcb1_membrane_preparation,Fig4B: Vanadate,
isolated_abcb1_membrane_preparation__fig4b_verapamil,isolated_abcb1_membrane_preparation,Fig4B: Verapamil,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_150_nm,isolated_abcb1_membrane_preparation,Fig4B: Verapamil + BEZ 150 nM,
isolated_abcb1_membrane_preparation__fig4b_verapamil_bez_50_nm,isolated_abcb1_membrane_preparation,Fig4B: Verapamil + BEZ 50 nM,
isolated_abcb1_membrane_preparation__fig4b_verapamil_vanadate,isolated_abcb1_membrane_preparation,Fig4B: Verapamil + Vanadate,
mia_b1_in_vitro__bez235_0_nm_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 0 nM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 0 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_150_nm_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 150 nM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 150 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_300_nm_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 300 nM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 300 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,mia_b1_in_vitro,"BEZ235 50 nM, 24 h (Fig4C pS6 blot)",
mia_b1_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 50 nM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 50 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 600 nM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,mia_b1_in_vitro,"BEZ235 600 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
mia_b1_in_vitro__bez_150nm_48_h_fig5b,mia_b1_in_vitro,"BEZ 150nM, 48 h (Fig5B)",
mia_b1_in_vitro__bez_300nm_48_h_fig5b,mia_b1_in_vitro,"BEZ 300nM, 48 h (Fig5B)",
mia_b1_in_vitro__bez_50nm_48_h_fig5b,mia_b1_in_vitro,"BEZ 50nM, 48 h (Fig5B)",
mia_b1_in_vitro__bez_600nm_48_h_fig5b,mia_b1_in_vitro,"BEZ 600nM, 48 h (Fig5B)",
mia_b1_in_vitro__control_48_h_fig5b,mia_b1_in_vitro,"control, 48 h (Fig5B)",
mia_b1_in_vitro__dox_0_5um_alone_48_h_fig5b,mia_b1_in_vitro,"DOX 0.5uM alone, 48 h (Fig5B)",
mia_b1_in_vitro__dox_bez_150nm_48_h_fig5b,mia_b1_in_vitro,"DOX+BEZ 150nM, 48 h (Fig5B)",
mia_b1_in_vitro__dox_bez_300nm_48_h_fig5b,mia_b1_in_vitro,"DOX+BEZ 300nM, 48 h (Fig5B)",
mia_b1_in_vitro__dox_bez_50nm_48_h_fig5b,mia_b1_in_vitro,"DOX+BEZ 50nM, 48 h (Fig5B)",
mia_b1_in_vitro__dox_bez_600nm_48_h_fig5b,mia_b1_in_vitro,"DOX+BEZ 600nM, 48 h (Fig5B)",
mia_b1_in_vitro__doxorubicin_0_05_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.05 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_0_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.1 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_0_2_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.2 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_0_4_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.4 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_0_6_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.6 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_0_8_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 0.8 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__doxorubicin_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Doxorubicin 1 uM, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_b1_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,mia_b1_in_vitro,"Vehicle control, 24 h (Fig4C pS6 blot)",
mia_b1_in_vitro__vehicle_control_48_h_fig1b_pair_miapaca2_vs_mia_b1,mia_b1_in_vitro,"Vehicle control, 48 h (Fig1B pair: MiaPaCa2 vs Mia-B1)",
mia_dx_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,mia_dx_in_vitro,"BEZ235 50 nM, 24 h (Fig4C pS6 blot)",
mia_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.05 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_0_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.1 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_0_2_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.2 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_0_4_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.4 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_0_6_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.6 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_0_8_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 0.8 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__doxorubicin_1_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Doxorubicin 1 uM, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
mia_dx_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,mia_dx_in_vitro,"Vehicle control, 24 h (Fig4C pS6 blot)",
mia_dx_in_vitro__vehicle_control_48_h_fig1a_pair_miapaca2_vs_mia_dx,mia_dx_in_vitro,"Vehicle control, 48 h (Fig1A pair: MiaPaCa2 vs Mia-dx)",
miapaca2_in_vitro__bez235_0_nm_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 0 nM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_0_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 0 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_150_nm_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 150 nM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_150_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 150 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_300_nm_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 300 nM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_300_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 300 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,miapaca2_in_vitro,"BEZ235 50 nM, 24 h (Fig4C pS6 blot)",
miapaca2_in_vitro__bez235_50_nm_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 50 nM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_50_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 50 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_600_nm_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 600 nM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez235_600_nm_doxorubicin_0_5_um_48_h_fig6_parp_blot,miapaca2_in_vitro,"BEZ235 600 nM + doxorubicin 0.5 uM, 48 h (Fig6 PARP blot)",
miapaca2_in_vitro__bez_150nm_48_h_fig5a,miapaca2_in_vitro,"BEZ 150nM, 48 h (Fig5A)",
miapaca2_in_vitro__bez_300nm_48_h_fig5a,miapaca2_in_vitro,"BEZ 300nM, 48 h (Fig5A)",
miapaca2_in_vitro__bez_50nm_48_h_fig5a,miapaca2_in_vitro,"BEZ 50nM, 48 h (Fig5A)",
miapaca2_in_vitro__bez_600nm_48_h_fig5a,miapaca2_in_vitro,"BEZ 600nM, 48 h (Fig5A)",
miapaca2_in_vitro__control_48_h_fig5a,miapaca2_in_vitro,"control, 48 h (Fig5A)",
miapaca2_in_vitro__dox_0_5um_alone_48_h_fig5a,miapaca2_in_vitro,"DOX 0.5uM alone, 48 h (Fig5A)",
